,W,t,Q2,obs,value,units,stat_u,syst_u,syst_c,col,lepton,E_lepton,hadron,E_hadron
0,40,-0.1,10,dSig/dt,4.77,nb/GeV2,0.5,0.2581235169,0.4165,H1,e+/e-,27.6,p,920
1,40,-0.3,10,dSig/dt,1.62,nb/GeV2,0.23,0.09482088378,0.153,H1,e+/e-,27.6,p,920
2,40,-0.5,10,dSig/dt,0.69,nb/GeV2,0.11,0.03687478813,0.0595,H1,e+/e-,27.6,p,920
3,40,-0.8,10,dSig/dt,0.1,nb/GeV2,0.02,0.005267826876,0.0085,H1,e+/e-,27.6,p,920
4,70,-0.1,10,dSig/dt,7.81,nb/GeV2,0.51,0.4477652845,0.7225,H1,e+/e-,27.6,p,920
5,70,-0.3,10,dSig/dt,2.88,nb/GeV2,0.22,0.1474991525,0.238,H1,e+/e-,27.6,p,920
6,70,-0.5,10,dSig/dt,0.91,nb/GeV2,0.1,0.05267826876,0.085,H1,e+/e-,27.6,p,920
7,70,-0.8,10,dSig/dt,0.16,nb/GeV2,0.02,0.01053565375,0.017,H1,e+/e-,27.6,p,920
8,100,-0.1,10,dSig/dt,11.0,nb/GeV2,0.85,1.174725393,1.8955,H1,e+/e-,27.6,p,920
9,100,-0.3,10,dSig/dt,3.71,nb/GeV2,0.31,0.2581235169,0.4165,H1,e+/e-,27.6,p,920
10,100,-0.5,10,dSig/dt,1.18,nb/GeV2,0.13,0.08428523002,0.136,H1,e+/e-,27.6,p,920
11,100,-0.8,10,dSig/dt,0.24,nb/GeV2,0.03,0.02107130751,0.034,H1,e+/e-,27.6,p,920
